0.53, 0.59, 0.31, 
0.78, 0.8, 0.33, 
0.89, 0.57, 0.58, 
0.35, 0.46, 0.8, 
0.62, 0.67, 0.47, 
0.69, 0.49, 0.07, 
0.44, 0.49, 0.25, 
0.03, 0.03, 0.57, 
0.47, 0.59, 0.08, 
0.54, 0.02, 0.58, 
0.51, 0.77, 0.44, 
0.85, 0.03, 0.93, 
0.31, 0.09, 0.16, 
0.98, 0.09, 0.64, 
0.4, 0.09, 0.28, 
0.81, 0.24, 0.36, 
0.06, 0.48, 0.68, 
0.4, 0.71, 0.25, 
0.06, 0.44, 0.97, 
0.76, 0.36, 0.36, 
0.73, 0.08, 0.34, 
0.29, 0.19, 0.3, 
0.01, 0.27, 0.76, 
0.86, 0.01, 0.9, 
0.54, 0.68, 0.51, 
0.96, 0.94, 0.9, 
0.82, 0.87, 0.12, 
0.5, 0.01, 0.56, 
0.85, 0.53, 0.56, 
0.51, 0.34, 0.57, 
0.68, 0.65, 0.26, 
0.81, 0.22, 0.7, 
0.54, 0.61, 0.71, 
0.59, 0.63, 0.68, 
0.69, 0.55, 0.42, 
0.1, 0.38, 0.93, 
0.2, 0.59, 0.11, 
0.95, 0.75, 0.89, 
0.58, 0.62, 0.02, 
0.6, 0.35, 0.68, 
0.42, 0.44, 0.67, 
0.89, 0.62, 0.88, 
0.91, 0.18, 0.47, 
0.79, 0.95, 0.81, 
0.39, 0.21, 0.21, 
0.14, 0.23, 0.64, 
0.05, 0.16, 0.94, 
0.36, 0.27, 0.27, 
0.36, 0.77, 0.08, 
0.8, 0.8, 0.52, 
0.16, 0.0, 0.64, 
0.11, 0.14, 0.78, 
0.04, 0.01, 0.47, 
0.67, 0.59, 0.4, 
0.58, 0.7, 0.21, 
0.39, 0.49, 0.84, 
0.3, 0.31, 0.04, 
0.25, 0.54, 0.26, 
0.92, 0.21, 0.08, 
0.64, 0.97, 0.67, 
0.65, 0.02, 1.0, 
0.86, 0.27, 0.47, 
0.06, 0.44, 0.63, 
0.51, 0.76, 0.28, 
0.13, 0.36, 0.42, 
0.24, 0.25, 0.82, 
0.55, 0.8, 0.97, 
0.3, 0.4, 0.88, 
0.58, 0.59, 0.52, 
0.25, 0.58, 0.4, 
0.22, 0.98, 0.48, 
0.19, 0.28, 0.48, 
0.48, 0.48, 0.69, 
0.34, 0.79, 0.98, 
0.51, 0.16, 0.78, 
0.28, 0.75, 0.32, 
0.37, 0.54, 0.49, 
0.04, 0.14, 0.66, 
0.09, 0.68, 0.11, 
0.47, 0.79, 0.31, 
0.85, 0.65, 0.51, 
0.54, 0.45, 0.97, 
0.11, 0.32, 0.73, 
0.04, 0.82, 0.5, 
0.88, 0.05, 0.52, 
0.44, 0.61, 0.35, 
0.58, 0.01, 0.27, 
0.82, 0.34, 0.65, 
0.94, 0.1, 0.89, 
0.54, 0.78, 0.83, 
0.96, 0.78, 0.5, 
0.61, 0.08, 0.93, 
0.79, 0.69, 0.26, 
0.45, 0.05, 0.67, 
1.0, 0.89, 0.75, 
0.76, 0.11, 0.55, 
0.91, 0.58, 0.41, 
0.6, 0.86, 0.79, 
0.53, 0.85, 0.24, 
0.55, 0.73, 0.5, 
0.89, 0.47, 0.62, 
0.12, 0.89, 0.58, 
0.4, 0.57, 0.79, 
0.59, 0.77, 0.87, 
0.91, 0.84, 0.01, 
0.62, 0.16, 0.97, 
0.14, 0.72, 0.89, 
0.62, 0.58, 0.13, 
0.12, 0.62, 0.31, 
0.06, 0.11, 0.06, 
0.29, 0.37, 0.48, 
0.29, 0.75, 0.21, 
0.97, 0.85, 0.8, 
0.44, 0.62, 0.85, 
0.41, 0.68, 0.99, 
0.4, 0.21, 0.26, 
0.29, 0.57, 0.73, 
0.8, 0.75, 0.97, 
0.07, 0.82, 0.21, 
0.73, 0.46, 0.49, 
0.15, 0.7, 0.93, 
1.0, 0.22, 0.51, 
0.84, 0.02, 0.09, 
0.09, 0.77, 0.07, 
0.41, 0.7, 0.76, 
0.98, 0.4, 0.84, 
0.26, 0.94, 0.08, 
0.93, 0.31, 0.03, 
